,Tweet_Num,Tweet,Sentiment,tokenized_cleaned
26,27,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…",Negative,therickhoweshow look cannabisact introduces new cannabis offences replacing cannabis offences
27,28,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…",Negative,therickhoweshow look cannabisact introduces new cannabis offences replacing cannabis offences
28,29,"RT @MidasLetter: VIDEO: What Passing of Bill C-45 means for Valens GroWorks Corp @ValensGroWorks (CNSX:VGW) https://t.co/y7p9Nc1kUL

#Canna…",Neutral,midasletter video passing bill means valens groworks corp valensgroworks cnsx vgw https
29,30,Make sure you come see POSRG in Niagara Falls at #GrowUp18 booth #423. Well done guys. #acmpr #CannabisAct https://t.co/uWuDgxilKq,Positive,make sure come see posrg niagara falls booth well done guys acmpr cannabisact https
30,31,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,Neutral,govcanhealth check topten things need know legalization regulation cannabis canada
31,32,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",Neutral,drex tonight theshiftwithdrex chat cannabisact current laws around cannabis amp driving could
32,33,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",Neutral,drex tonight theshiftwithdrex chat cannabisact current laws around cannabis amp driving could
33,34,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",Neutral,drex tonight theshiftwithdrex chat cannabisact current laws around cannabis amp driving could
34,35,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",Neutral,drex tonight theshiftwithdrex chat cannabisact current laws around cannabis amp driving could
35,36,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",Neutral,drex tonight theshiftwithdrex chat cannabisact current laws around cannabis amp driving could
36,37,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",Neutral,drex tonight theshiftwithdrex chat cannabisact current laws around cannabis amp driving could
37,38,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",Neutral,drex tonight theshiftwithdrex chat cannabisact current laws around cannabis amp driving could
38,39,"RT @JodieEmery: The work's not done yet: legal pot advocate

“Pot advocate Jodie Emery says the vote may be historic, but for lawyers, civi…",Negative,jodieemery work done yet legal pot advocate pot advocate jodie emery says vote may historic lawyers
39,40,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",Negative,jodieemery momentarily discuss cannabisact good bad ugly new criminal
40,41,Hear the great news from our neighbors to the north? Congrats!Contact for private sale. #Canada #CannabisAct… https://t.co/4iHYbwsfdE,Positive,hear great news neighbors north congrats contact private sale canada https
41,42,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…",Neutral,made cannabisact receives royal assent regulations wednesday june
42,43,RT @HealthQuoteCA: Medical Marijuana: All Smoke and Mirrors or Valid Health Insurance Coverage? - https://t.co/AUs21nOWCr - #MedicalMarijua…,,healthquoteca medical marijuana smoke mirrors valid health insurance coverage https
43,44,"Looking forward to returning to the Metro Toronto Convention Centre for #MjBizConIntl !!

Will you be in attendance… https://t.co/byNfdiPbq7",Positive,looking forward returning metro toronto convention centre mjbizconintl https
44,45,"RT @JodieEmery: Still waiting for a Trudeau to decriminalize pot... 

I wrote this 6 YEARS ago, and @JustinTrudeau still refuses to end unj…",Negative,jodieemery still waiting trudeau decriminalize pot wrote years ago justintrudeau still refuses end
45,46,"RT @JodieEmery: Letter to @JustinTrudeau — one of a few I’ve written — asking for an end to unjust cannabis possession arrests.

This was m…",Negative,jodieemery letter justintrudeau one written asking end unjust cannabis possession arrests
46,47,"$ACB $ACB.to

Aurora Cannabis (@Aurora_MMJ) Welcomes Royal Assent of Canada's #CannabisAct

https://t.co/R9Jrpp1V9Y… https://t.co/O49xkjYxcA",Positive,acb aurora cannabis welcomes royal assent canada cannabisact https https
47,48,"Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they… https://t.co/5jp2jps5l0",Neutral,tonight theshiftwithdrex chat cannabisact current laws around cannabis amp driving https
48,49,"RT @ScottTalking: Thursday on The Scott Thompson Show! @AM900CHML 
Will country be ready for legal weed by Oct. 17th?
https://t.co/gs6u1z7s…",Neutral,scotttalking thursday scott thompson show country ready legal weed https
49,50,"RT @Zieloni: 🇨🇦 Kanada jako drugi kraj na świecie legalizuje marihuanę. To dowód, że stara polityka walki z narkotykami nie działa. Wspólni…",Positive,zieloni kanada jako drugi kraj świecie legalizuje marihuanę dowód stara polityka walki narkotykami nie działa
50,51,RT @JoinGreenRush: #Canada has officially legalized #cannabis for recreational use! It's the second country in the world to pass a law like…,Positive,joingreenrush canada officially legalized cannabis recreational use second country world pass law
51,52,"RT @Zenabis: Mark your calendars! October 17th, 2018 will be the first official day that recreational #cannabis will be legalized in Canada…",Positive,zenabis mark calendars october first official day recreational cannabis legalized
52,53,Canada's setting the stage with legalized military #marijuana use. What type of restrictions do you support? If mar… https://t.co/cWhcYJTu2j,,canada setting stage legalized military marijuana use type restrictions support https
53,54,"RT @CannTrust: After a long journey, October 17 is the day when #cannabis officially becomes legal. We are so thrilled to be a part of Hist…",,canntrust long journey october day cannabis officially becomes legal thrilled part
54,55,"RT @GordQuotes: It's well worth the wait
#CannabisAct 💨 https://t.co/r8g4zp1ldP",,gordquotes well worth wait cannabisact https
55,56,"Legalization &amp; Risks: Doctors Reminding Public
 That Health Effects of Cannabis Use Are Real… https://t.co/KxkAdqZ4qh",,legalization amp risks doctors reminding public health effects cannabis use https
56,57,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…",,made cannabisact receives royal assent regulations wednesday june
57,58,"Join the conversation!

https://t.co/saMA2VgnhZ

#bringpeopletogether #CannabisAct #CannabisCommunity… https://t.co/LHLMqr2lvp",,join conversation https bringpeopletogether cannabisact https
58,59,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,,govcanhealth check topten things need know legalization regulation cannabis canada
59,60,RT @jonny_red32: $CBWTF nice bounce off the bottom. #CannabisAct #cannabis #market #CannabisCommunity 👉👉 Auxly Cannabis Group Inc 💯 https:/…,,cbwtf nice bounce bottom cannabisact cannabis market cannabiscommunity auxly cannabis group inc https
60,61,"RT @jonny_red32: $MJNA MEDICAL MARIJUANA, INC. ANNOUNCES LETTER OF INTENT WITH SALVATION BOTANICALS TO BRING ITS PRODUCTS TO THE BURGEONING…",,mjna medical marijuana inc announces letter intent salvation botanicals bring products
61,62,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…",,made cannabisact receives royal assent regulations wednesday june
62,63,"RT @JodieEmery: Letter to @JustinTrudeau — one of a few I’ve written — asking for an end to unjust cannabis possession arrests.

This was m…",,jodieemery letter justintrudeau one written asking end unjust cannabis possession arrests
63,64,"RT @BCTruckingAssoc: Cannabis in Canada - please note:  ""It is illegal to take cannabis across Canada's international borders."" https://t.c…",,bctruckingassoc cannabis canada please note illegal take cannabis across canada international borders https
64,65,RT @HealthQuoteCA: Medical Marijuana: All Smoke and Mirrors or Valid Health Insurance Coverage? - https://t.co/AUs21nOWCr - #MedicalMarijua…,,healthquoteca medical marijuana smoke mirrors valid health insurance coverage https
65,66,"RT @MJBizDaily: Congratulations to Canada, the first G7 country to vote for federal #cannabis legalization! 
#CannabisAct #cannabiz #cannac…",,mjbizdaily congratulations canada first country vote federal cannabis legalization cannabisact cannabiz
66,67,"RT @JodieEmery: Letter to @JustinTrudeau — one of a few I’ve written — asking for an end to unjust cannabis possession arrests.

This was m…",,jodieemery letter justintrudeau one written asking end unjust cannabis possession arrests
67,68,RT @jonny_red32: $CBWTF nice bounce off the bottom. #CannabisAct #cannabis #market #CannabisCommunity 👉👉 Auxly Cannabis Group Inc 💯 https:/…,,cbwtf nice bounce bottom cannabisact cannabis market cannabiscommunity auxly cannabis group inc https
68,69,"RT @jonny_red32: $MJNA MEDICAL MARIJUANA, INC. ANNOUNCES LETTER OF INTENT WITH SALVATION BOTANICALS TO BRING ITS PRODUCTS TO THE BURGEONING…",,mjna medical marijuana inc announces letter intent salvation botanicals bring products
69,70,"RT @NICHECanada: Watch: Questions remain over #cannabis legalization. Key among them: home cultivation, impaired driving, pardons, and the…",,nichecanada watch questions remain cannabis legalization key among home cultivation impaired driving pardons
70,71,#Canada passes recreational #cannabis bill. The #CannabisAct was passed yesterday (Tuesday 19 June) with 52 votes i… https://t.co/bojZz4ehgn,,canada passes recreational cannabis bill cannabisact passed yesterday tuesday june votes https
71,72,"RT @GovCanHealth: Bill #C45, Canada’s new #CannabisAct has passed in the Senate. On coming into force, Canadians aged 18 or 19 (depending o…",,govcanhealth bill canada new cannabisact passed senate coming force canadians aged depending
72,73,Cheers to our neighbors to the north! Contact for private sale. #Canada #CannabisAct #CannabisNews #Cannabis #C45… https://t.co/zyfuN5WvD1,,cheers neighbors north contact private sale canada cannabisact cannabisnews cannabis https
73,74,"RT @occupywsib: RT #DougFord wants consultations on #marijuana sales in #Ontario https://t.co/EG5iR4iXSv #Ford, who was elected this month,…",,occupywsib dougford wants consultations marijuana sales ontario https ford elected month
74,75,RT @HIGH_TIMES_Mag: Yesterday Canada legalized recreational cannabis! Here's what you need to know about Canada’s Cannabis Act. https://t.c…,,yesterday canada legalized recreational cannabis need know canada cannabis act https
75,76,"wut.
Definition of beer in #Canada could change🍺
https://t.co/onn3eXvQQb #cdnpoli #bcpoli #vanpoli #onpoli #ottawa… https://t.co/RR6mmpcDv2",,wut definition beer canada could https cdnpoli bcpoli vanpoli onpoli https
76,77,"Watch: Questions remain over #cannabis legalization. Key among them: home cultivation, impaired driving, pardons, a… https://t.co/V5OCF0bIhZ",,watch questions remain cannabis legalization key among home cultivation impaired driving pardons https
77,78,"RT @peterk88: discover END PLAY WINNING BLACKJACK/free now...
...deck penetration IS the secret sauce 

#ARGCRO  #IRAESP  #FifaWorldCup18…",,discover end play winning deck penetration secret sauce argcro iraesp
78,79,RT @HealthQuoteCA: Medical Marijuana: All Smoke and Mirrors or Valid Health Insurance Coverage? - https://t.co/AUs21nOWCr - #MedicalMarijua…,,healthquoteca medical marijuana smoke mirrors valid health insurance coverage https
79,80,"discover END PLAY WINNING BLACKJACK/free now...
...deck penetration IS the secret sauce 

#ARGCRO  #IRAESP… https://t.co/47gEWmFKY8",,discover end play winning deck penetration secret sauce argcro https
80,81,"RT #DougFord wants consultations on #marijuana sales in #Ontario https://t.co/EG5iR4iXSv #Ford, who was elected thi… https://t.co/IPPuVnNdmT",,dougford wants consultations marijuana sales ontario https ford elected https
81,82,@GuardianRover @bex0760 @realDonaldTrump Easy.  #LegalizeCannabis as #Canada just did (#CannabisAct).,,guardianrover realdonaldtrump easy legalizecannabis canada cannabisact
82,83,La plus grande installation intérieure de culture de cannabis à des fins médicales au Québec se trouvera dans Brome… https://t.co/odISZ9yXyR,,plus grande installation intérieure culture cannabis des fins médicales québec trouvera dans https
83,84,La plus grande installation intérieure de culture de cannabis à des fins médicales au Québec se trouvera dans Brome… https://t.co/og7Nd7MGO2,,plus grande installation intérieure culture cannabis des fins médicales québec trouvera dans https
84,85,La plus grande installation intérieure de culture de cannabis à des fins médicales au Québec se trouvera dans Brome… https://t.co/7ZklgeiN0v,,plus grande installation intérieure culture cannabis des fins médicales québec trouvera dans https
85,86,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",,jodieemery momentarily discuss cannabisact good bad ugly new criminal
86,87,"Here comes the boom from the new ruler of Ontario, so @fordnation is going to stall #CannabisAct in Ontario??? https://t.co/FL7P34DBpm",,comes boom new ruler ontario fordnation going stall cannabisact ontario https
87,88,#Canadian PM @JustinTrudeau has set an #Official date and #Canada will soon be the largest country in the world wit… https://t.co/pjkEUtmM0V,,canadian justintrudeau set official date canada soon largest country world https
88,89,The Senate has voted to pass Bill C-45 – Canada’s #CannabisAct. Trudeau confirms that cannabis will be legal in Can… https://t.co/fcxYDOehPX,,senate voted pass bill canada cannabisact trudeau confirms cannabis legal https
89,90,Cheers to our friends to the north! Contact for private sale. #Canada #CannabisAct #CannabisNews #Cannabis #domains https://t.co/LFLhHX1MUD,,cheers friends north contact private sale canada cannabisact cannabisnews cannabis domains https
90,91,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",,jodieemery momentarily discuss cannabisact good bad ugly new criminal
91,92,The #CannabisAct has received Royal Assent. See our team’s review of Senate amendments to Bill #C45 that were rejec… https://t.co/PLm3QNlHwJ,,cannabisact received royal assent see team review senate amendments bill https
92,93,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,,govcanhealth check topten things need know legalization regulation cannabis canada
93,94,"You have the chance to do the right thing for Ontario, @fordnation. Government monopoly on cannabis is a step backw… https://t.co/jwKYnoaBvJ",,chance right thing ontario fordnation government monopoly cannabis step https
94,95,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",,jodieemery momentarily discuss cannabisact good bad ugly new criminal
95,96,RT @CannabisCCI: What the Canadian #Cannabis #ACMPR industry needs to know about #C45 #CannabisAct and moving forward: https://t.co/T1ebdGU…,,cannabiscci canadian cannabis acmpr industry needs know cannabisact moving forward https
96,97,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",,jodieemery momentarily discuss cannabisact good bad ugly new criminal
97,98,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",,jodieemery momentarily discuss cannabisact good bad ugly new criminal
98,99,"I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new crimi… https://t.co/oxGYENqR16",,momentarily discuss cannabisact good bad ugly new https
99,100,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…",,made cannabisact receives royal assent regulations wednesday june
100,101,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
101,102,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
102,103,"#ContentmentIn4Words

This weed is smooth.

#FourTwentey #BillC45 https://t.co/OGsze3RRQ4",,weed smooth fourtwentey https
103,104,"RT @vineshpratap: an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC4…",,vineshpratap answer question today globaledmonton marijuana high equivalent alcohol yeg
104,105,"RT @vineshpratap: an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC4…",,vineshpratap answer question today globaledmonton marijuana high equivalent alcohol yeg
105,106,"an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC45 #CannabisAct",,answer question today globaledmonton marijuana high equivalent alcohol yeg cannabisact
106,107,"RT @MidasLetter: VIDEO: What Passing of Bill C-45 means for Valens GroWorks Corp @ValensGroWorks (CNSX:VGW) https://t.co/y7p9Nc1kUL

#Canna…",,midasletter video passing bill means valens groworks corp valensgroworks cnsx vgw https
107,108,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
108,109,@NORMLcanada Official statement on legalization announcement.  Please let us know your thoughts. #cannabis #BillC45… https://t.co/ZX9VajR6U4,,normlcanada official statement legalization announcement please let know thoughts cannabis https
109,110,"RT @Zenabis: Mark your calendars! October 17th, 2018 will be the first official day that recreational #cannabis will be legalized in Canada…",,zenabis mark calendars october first official day recreational cannabis legalized
110,111,"RT @CannTrust: After a long journey, October 17 is the day when #cannabis officially becomes legal. We are so thrilled to be a part of Hist…",,canntrust long journey october day cannabis officially becomes legal thrilled part
111,112,"Pleased to see #billC45, read why this is so impt to the insurance industry here- https://t.co/KNzPxjCrvv… https://t.co/F2dpFKg9Ul",,pleased see read impt insurance industry https https
112,113,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
113,114,Long May You Reign #RoyalAssent #BillC45 #C45 https://t.co/d3cwLbxxYh,,long may reign royalassent https
114,115,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
115,116,"It's official!

Recreational #cannabis will be legal in #Canada on October 17, 2018. How did we get here? What are… https://t.co/aidrOfk3rn",,official recreational cannabis legal canada october get https
116,117,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
117,118,4 working days away. So excited. See you there? #rnmkrtalks #billc45 #womenincannabis https://t.co/hjtXMCtZBc,,working days away excited see rnmkrtalks womenincannabis https
118,119,Canada is the first in the G7 to legalize the recreational use of Marijuana. Prime Minister Trudeau will delay lega… https://t.co/FACYfpuRWN,,canada first legalize recreational use marijuana prime minister trudeau delay https
119,120,Canadians have reached a new milestone! Prime Minister Justin Trudeau says cannabis will be legal in Canada on Octo… https://t.co/IKXcJiWFrH,,canadians reached new milestone prime minister justin trudeau says cannabis legal canada https
120,121,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
121,122,Let the countdown to October 17 begin! #Canada #CannabisAct #October17 #cannabis #Legalization #Trudeau… https://t.co/ew0Dtm4YSL,,let countdown october begin canada cannabisact cannabis legalization https
122,123,"RT @namaste: The date for the legalization of recreational #cannabis has been set! On October 17 of this year, Canada will see the dawn of…",,namaste date legalization recreational cannabis set october year canada see dawn
123,124,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
124,125,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
125,126,"RT @MH_Dillinger: Cannabis police, allowing cities to make dispensaries illegal, banning cannabis lounges, arrests for growing your four ma…",,cannabis police allowing cities make dispensaries illegal banning cannabis lounges arrests growing four
126,127,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
127,128,"RT @Zenabis: Mark your calendars! October 17th, 2018 will be the first official day that recreational #cannabis will be legalized in Canada…",,zenabis mark calendars october first official day recreational cannabis legalized
128,129,"RT @ArmandConant: To be clear, as of October 17, 2018, all adult Canadians will have legal access to cannabis for recreational use. Time wi…",,armandconant clear october adult canadians legal access cannabis recreational use time
129,130,"🚧#safety #news: ""The findings state that employers’ top concerns include workplace safety, impairment or intoxicati… https://t.co/7hIHVd5bAM",,safety news findings state employers top concerns include workplace safety impairment https
130,131,RT @CannabisNews: Cannabis is now legal under #BillC45. #cannabis #Marijuana #CannabisCommunity #CannabisCulture #cannabisnews #weed #pot #…,,cannabisnews cannabis legal cannabis marijuana cannabiscommunity cannabisculture cannabisnews weed pot
131,132,RT @mmjinvesting: #BILLC45 receives #RoyalAssent https://t.co/usS0Np7h1W,,mmjinvesting receives royalassent https
132,133,#BILLC45 receives #RoyalAssent https://t.co/usS0Np7h1W,,receives royalassent https
133,134,"RT @namaste: The date for the legalization of recreational #cannabis has been set! On October 17 of this year, Canada will see the dawn of…",,namaste date legalization recreational cannabis set october year canada see dawn
134,135,"RT @namaste: The date for the legalization of recreational #cannabis has been set! On October 17 of this year, Canada will see the dawn of…",,namaste date legalization recreational cannabis set october year canada see dawn
135,136,"RT @FLAREfashion: Puff, puff, pass, y'all #BillC45
https://t.co/oY1wdfAoQu",,flarefashion puff puff pass https
136,137,"RT @namaste: The date for the legalization of recreational #cannabis has been set! On October 17 of this year, Canada will see the dawn of…",,namaste date legalization recreational cannabis set october year canada see dawn
137,138,"RT @Zenabis: Mark your calendars! October 17th, 2018 will be the first official day that recreational #cannabis will be legalized in Canada…",,zenabis mark calendars october first official day recreational cannabis legalized
138,139,RT @SXMCanadaTalks: Recreational use of #Marijuana is legal and comes into affect Oct. 17th and @JodieEmery joins @anthonyfurey to weigh in…,,sxmcanadatalks recreational use marijuana legal comes affect jodieemery joins anthonyfurey weigh
139,140,"RT @Zenabis: History has been made today! The Senate has passed #BillC45 in a 52-29-2 vote, officially approving adult-use, recreational #c…",,zenabis history made today senate passed vote officially approving recreational
140,141,"Canada ended 95 years of Cannabis prohibition Tuesday, passing landmark legislation – Bill C-45 – that lays the gro… https://t.co/r6ARxjCtn5",,canada ended years cannabis prohibition tuesday passing landmark legislation bill lays https
141,142,VIDEO: What Passing of Bill C-45 means for Valens GroWorks Corp @ValensGroWorks (CNSX:VGW) https://t.co/y7p9Nc1kUL… https://t.co/tazS4wcugr,,video passing bill means valens groworks corp valensgroworks cnsx vgw https https
142,143,"RT @StefOstrander: Thank you, to all of you, that made this happen
We Will Rock The World By Changing It!
#BillC45 #C45 #legalization #cann…",,stefostrander thank made happen rock world changing legalization
143,144,"RT @RISELifeScience: ""We've just witnessed a historic vote for Canada. The end of 90 years of prohibition."" — @TonyDean_TO  

When #BillC45…",,riselifescience witnessed historic vote canada end years prohibition
144,145,"""We've just witnessed a historic vote for Canada. The end of 90 years of prohibition."" — @TonyDean_TO  

When… https://t.co/RPJpBpoRDi",,witnessed historic vote canada end years prohibition https
145,146,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
146,147,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,,iliveasnatalie professional within construction industry concerned legalization marijuana affect
